datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2024/1/12,74.16666666666667,78.20833333333333,72.58333333333333,83.83333333333333,71.45833333333333,85.4375,87,74.45833333333333,76.33333333333333,57.958333333333336,76.14375
2024/1/13,67,67.875,72.45833333333333,60.333333333333336,56.083333333333336,79.375,74.16666666666667,51.166666666666664,63.166666666666664,51,64.2625
2024/1/14,89.16666666666667,88.0625,82.625,104.54166666666667,82.5,124.91666666666667,91.33333333333333,68.1875,93.25,68.91666666666667,89.35000000000001
2024/1/15,148.04166666666666,138.58333333333334,143.16666666666666,155,156.33333333333334,140.5,151.33333333333334,116.83333333333333,142.83333333333334,133.04166666666666,142.56666666666666
2024/1/16,87.5909090909091,85.04545454545455,95.86363636363636,89.04545454545455,98.36363636363636,78.36363636363636,90.5,85.63636363636364,90.31818181818181,77.36363636363636,87.80909090909091
2024/1/17,44.375,44.791666666666664,49.041666666666664,41.979166666666664,49.708333333333336,38.833333333333336,42.479166666666664,40.958333333333336,50.166666666666664,34.25,43.65833333333333
2024/1/18,13.125,18.25,14.041666666666666,14.166666666666666,18.416666666666668,12.208333333333334,13.458333333333334,13.375,18.416666666666668,9.458333333333334,14.491666666666667
2024/1/19,9.291666666666666,13.625,9,8.916666666666666,10.541666666666666,6.625,8.708333333333334,9.208333333333334,10.791666666666666,5.5,9.220833333333333
2024/1/20,36.125,29.416666666666668,41.708333333333336,45.25,28.416666666666668,40.958333333333336,38.458333333333336,35.604166666666664,32.625,32.875,36.143750000000004
2024/1/21,55.125,51.916666666666664,60.708333333333336,59.708333333333336,57.041666666666664,57.875,58.541666666666664,54.1875,57.458333333333336,51.208333333333336,56.37708333333333
2024/1/22,35.708333333333336,41.791666666666664,40.125,44.541666666666664,42.958333333333336,38,41.416666666666664,36.708333333333336,45,34.583333333333336,40.083333333333336
2024/1/23,26.166666666666668,29.958333333333332,30.25,27.541666666666668,31.791666666666668,23.291666666666668,32.833333333333336,25.625,32.625,22.791666666666668,28.287499999999998
2024/1/24,28.541666666666668,30.708333333333332,34.729166666666664,33.083333333333336,31.5,30.583333333333332,30.75,31.916666666666668,29.291666666666668,21.125,30.222916666666666
2024/1/25,37.041666666666664,41.666666666666664,44.458333333333336,45.083333333333336,40.125,41.25,38.958333333333336,41.208333333333336,40.333333333333336,25.833333333333332,39.59583333333333
2024/1/26,50.458333333333336,46.041666666666664,58.083333333333336,54.583333333333336,50.5,59.041666666666664,52.916666666666664,53.625,49.041666666666664,36.458333333333336,51.074999999999996
2024/1/27,57.458333333333336,61.583333333333336,64.16666666666667,65.04166666666667,62.208333333333336,66.5,60.125,61.041666666666664,59.333333333333336,43.5,60.09583333333333
2024/1/28,63.416666666666664,67.16666666666667,76.25,71.54166666666667,73.04166666666667,74.91666666666667,73.83333333333333,68.83333333333333,62.5,51.333333333333336,68.28333333333333
2024/1/29,79.41666666666667,79.20833333333333,85.75,80.35416666666667,81.5,81.16666666666667,76.79166666666667,79.4375,78.75,66.16666666666667,78.85416666666667
2024/1/30,38.166666666666664,45.333333333333336,35.791666666666664,42.708333333333336,48.14166666666667,38.666666666666664,39.208333333333336,41.583333333333336,43.020833333333336,33.583333333333336,40.620416666666664
